EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED,Linear Regression_FILTERED,Polynomial Regression_FILTERED,Random Forest_FILTERED,FFNN_FILTERED,XGBoost_FILTERED
221,19,256,112,2,112,68.74,15.85,76.99,17.75,483.9358114653815,621.475716733958,221.35,256.9066986083984,230.61751
5107,14,1200,112,3,224,81.58,21.39,182.74,47.91,3705.653609445397,5257.771834801528,4980.216,5111.55771484375,5091.358
76,17,200,112,8,784,12.72,14.04,99.72,110.07,59.94026294476919,27.805377717159843,98.824,65.45009517669678,82.3386
1192,22,512,112,4,336,65.49,16.01,220.05,53.79,1606.492209134109,1575.4454943175342,1194.6870095238096,1186.6509765625,1205.7896
2516,12,1000,112,16,1680,7.98,14.35,134.06,241.08,2637.9050089653874,2362.57898590451,2576.468,2549.998876953125,2547.0552
66,15,256,112,4,336,37.65,14.21,126.5,47.75,203.0801635840337,141.72512875779472,66.53,68.01144618988037,76.94334
29,18,128,112,4,336,19.63,14.4,65.96,48.38,-89.6337229899143,-38.146666368515525,35.758,16.116991424560545,18.993309
151,22,256,112,4,336,52.23,14.99,175.49,50.37,643.5332333390534,328.0051445505949,150.248,80.18271369934082,193.62434
110,17,256,112,12,1232,10.67,13.81,131.45,170.14,212.25118000012162,279.2953965478361,114.754,140.65089797973633,133.12663
1392,13,800,112,5,448,34.31,15.2,153.71,68.1,2108.9401632078534,1285.784427195586,1382.622,1411.8330322265624,1375.3749
791,17,600,112,3,224,72.12,16.15,161.55,36.18,1637.484111249314,1414.3491592940172,816.222,934.8235229492187,847.73376
4071,18,1000,112,8,784,35.33,15.86,276.99,124.34,3132.108929412179,3663.0040754505526,3929.002,3900.76484375,4064.0828
952,18,512,112,3,224,67.19,15.95,150.51,35.73,1369.3888304276236,1199.081258343936,908.26,822.191796875,769.89923
715,14,512,112,2,112,81.77,15.25,91.58,17.08,1132.2854517211376,717.4253984885032,695.372,759.5183715820312,781.4635
2761,22,512,112,2,112,84.47,16.82,94.61,18.84,1635.6603885840173,2380.7950985400853,2311.491333333333,2869.712548828125,2497.5103
1582,19,600,112,3,224,48.57,16.16,108.8,36.2,1763.3278454650338,1853.9201621172915,1409.562,1463.56875,1530.176
1278,12,800,112,4,336,11.55,14.43,38.81,48.48,2060.6023858249478,1109.9660405273128,1291.522,1221.0966796875,1272.0176
38,14,200,112,3,224,41.64,14.61,93.27,32.73,-55.904889754040596,95.55494905633819,39.65,102.92538681030274,29.768503
3341,16,1000,112,4,336,42.67,16.85,143.37,56.62,3064.601554096275,3767.1864568729125,3329.476,3359.917626953125,3345.0996
30,12,128,112,5,448,5.98,13.75,26.79,61.6,-481.7490153620279,-15.536277895506998,31.296,5.818186187744141,29.105198
3520,10,1200,112,8,784,12.23,15.19,95.88,119.09,3381.045692389187,3591.5222440200364,3275.101233333333,3575.668994140625,3511.9849
850,18,600,112,8,784,35.93,14.82,281.69,116.19,1627.4855297324038,813.9494021864134,834.514,884.899072265625,844.8859
46,14,200,112,5,448,24.96,12.97,111.82,58.11,-85.07306920394865,43.54833752551059,47.662,67.89892182797193,35.74983
140,22,256,112,12,1232,17.57,14.07,216.46,173.34,526.8605155394214,302.63383626342613,139.2035,176.9587829589844,117.00386
757,16,600,112,8,784,28.47,14.59,223.2,114.39,1501.641795516684,698.5061902349219,763.332,821.2581665039063,753.3262
140,32,200,112,6,560,52.4,15.23,293.44,85.29,1032.9364490125763,-310.5282615649593,224.098,-20.706327819824217,206.48994
1681,22,512,112,3,224,69.43,16.51,155.52,36.98,1621.0762988590632,1942.452886317128,1519.7717333333335,1670.125,1535.907
1005,19,512,112,3,224,73.39,16.04,164.39,35.93,1432.3106975354835,1370.9189328691455,1058.31,945.0288940429688,1122.548
1721,16,800,112,5,448,51.58,16.23,231.08,72.71,2297.7057645314335,1914.5941141691733,1701.97,1624.4650390625,1722.639
556,12,600,112,8,784,16.06,14.17,125.91,111.09,1249.9543270852441,591.7973225261294,552.68,537.6529296875,579.66327
79,13,256,112,2,112,55.17,15.01,61.79,16.81,106.40460881822185,174.06648096483076,77.588,67.3453085899353,72.25134
971,19,512,112,4,336,51.2,15.72,172.03,52.82,1417.7266078105295,1113.0380405771446,870.3013333333332,749.14814453125,898.9458
2917,14,1000,112,5,448,23.72,15.39,106.27,68.95,2924.1737301556013,2839.6711056944423,2933.228,2856.000341796875,2909.6108
40,20,128,112,5,448,17.62,13.32,78.94,59.67,21.62592150085152,-139.8051810256946,64.664,254.3826675415039,111.68026
73,18,200,112,8,784,16.72,14.0,131.08,109.76,122.86213005262914,-0.009599848622428908,120.062,94.39804267883301,93.28142
16,12,128,112,2,112,26.32,14.31,29.48,16.03,-437.99674618716585,-26.419597271329508,25.024,68.91718354225159,11.070505
76,10,200,112,12,1232,3.41,13.34,42.01,164.35,-438.84916571006625,141.93740300055853,82.37128571428573,117.76845245361328,64.45095
1513,14,800,112,8,784,22.27,14.71,174.6,115.33,2128.1097611408513,1359.5039810335347,1481.18,1481.6973876953125,1492.72
203,14,400,112,5,448,34.1,13.5,152.77,60.48,667.2386306359388,272.81660474470755,200.934,175.37655792236328,189.7823
426,15,512,112,4,336,57.28,15.15,192.46,50.9,1166.0391393790896,622.7383154396443,456.1973333333333,455.8506591796875,499.1827
2511,12,1000,112,8,784,17.05,14.44,133.67,113.21,2754.577726765019,2300.816787822962,2529.994,2497.154345703125,2497.6824
11,10,128,112,2,112,27.45,13.41,30.74,15.02,-563.8404804028858,-120.64102284431232,14.812,16.464498710632324,-4.9841332
355,13,512,112,3,224,64.24,15.18,143.9,34.0,1054.7794948883238,476.68701084367024,377.443,485.7361206054687,406.58502
590,20,512,112,5,448,73.71,15.91,330.22,71.28,1466.0643851934353,1020.9372345981042,622.7006666666666,698.5048095703125,723.5177
3108,15,1000,112,3,224,94.01,20.28,210.58,45.43,3016.263776713369,3545.7703178341203,3109.242,3095.23544921875,3158.6887
258,18,400,112,3,224,76.66,15.37,171.72,34.43,948.0942785172865,768.0031292436552,275.844,306.6371612548828,290.82806
141,10,400,112,6,560,14.82,13.5,82.99,75.6,400.967072479545,248.87279103915026,140.64983333333333,131.28818969726564,168.07718
4641,13,1200,112,3,224,70.91,20.45,158.84,45.81,3642.7317423375366,4644.927851510866,4525.686,4711.71923828125,4667.739
2915,32,600,112,6,560,81.89,17.19,458.58,96.26,2537.559848692351,3737.873241944914,3117.014,3085.759619140625,3095.2964
25,14,128,112,4,336,12.71,13.13,42.71,44.12,-341.3211914213539,-26.627590434554463,28.212,-11.894850635528565,21.745651
41,22,128,112,5,448,21.48,13.41,96.23,60.08,147.46965571657142,-195.36767486922628,91.174,243.87606048583984,139.09782
3336,16,1000,112,3,224,93.3,19.76,208.99,44.26,3079.185643821229,4024.4097961496986,3331.43,3338.7513671875,3326.5645
1545,50,200,112,2,112,91.64,14.94,102.64,16.73,2223.8664158538713,2808.6432396580813,1811.92,1742.9356201171875,1830.6277
2807,24,800,112,12,1232,39.31,15.4,484.3,189.73,2698.992073319635,2421.0135299300073,3021.99,2798.643603515625,2876.9336
7095,47,512,112,4,336,,,,,3179.5388868306077,8855.2394940788,6078.4648,7855.43125,6453.8257
6341,17,1200,112,8,784,34.08,17.17,267.19,134.61,3821.4987621442065,5891.779610717698,6064.816,6363.20595703125,6355.405
85,14,256,112,2,112,64.81,12.84,72.59,14.38,169.3264759260818,244.07884882901772,83.982,80.84396591186524,80.71501
20,10,128,112,4,336,6.92,13.11,23.25,44.05,-593.0086598527937,-54.98249071235006,21.65,35.82323989868164,17.689232
277,48,200,112,12,1232,43.43,15.36,535.06,189.24,1952.1817843886115,-27.50364275219215,358.44,255.7424560546875,175.4043
70,17,128,112,12,1232,5.84,13.87,71.95,170.88,-269.22830789740624,295.6248793369887,81.631,68.89787359237671,67.96421
236,17,400,112,3,224,79.54,15.88,178.17,35.57,885.1724114094266,661.6587968052008,247.432,246.96270751953125,268.2858
350,12,512,112,4,336,,,,,977.2735380555098,347.1620262642605,350.91211904761883,401.6460815429688,341.1535
642,14,600,112,4,336,29.72,15.08,99.86,50.67,1434.1344202007801,750.1424833755057,634.404,562.2130065917969,637.69464
4383,12,1200,112,16,1680,8.1,14.59,136.08,245.11,3390.2167088052747,4281.101436138844,4193.354,4281.71181640625,4404.5786
1061,22,600,112,6,560,72.99,15.9,408.74,89.04,1908.3411776137516,1566.5586708903566,1151.4553333333336,989.4648681640625,1237.0375
