EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED
221,19,256,112,2,112,68.74,15.85,76.99,17.75
5107,14,1200,112,3,224,81.58,21.39,182.74,47.91
76,17,200,112,8,784,12.72,14.04,99.72,110.07
1192,22,512,112,4,336,65.49,16.01,220.05,53.79
2516,12,1000,112,16,1680,7.98,14.35,134.06,241.08
66,15,256,112,4,336,37.65,14.21,126.5,47.75
29,18,128,112,4,336,19.63,14.4,65.96,48.38
151,22,256,112,4,336,52.23,14.99,175.49,50.37
110,17,256,112,12,1232,10.67,13.81,131.45,170.14
1392,13,800,112,5,448,34.31,15.2,153.71,68.1
791,17,600,112,3,224,72.12,16.15,161.55,36.18
4071,18,1000,112,8,784,35.33,15.86,276.99,124.34
10482,48,800,112,12,1232,83.67,18.63,1030.81,229.52
952,18,512,112,3,224,67.19,15.95,150.51,35.73
715,14,512,112,2,112,81.77,15.25,91.58,17.08
2761,22,512,112,2,112,84.47,16.82,94.61,18.84
1582,19,600,112,3,224,48.57,16.16,108.8,36.2
6820,32,800,112,6,560,84.23,17.54,471.69,98.22
1278,12,800,112,4,336,11.55,14.43,38.81,48.48
38,14,200,112,3,224,41.64,14.61,93.27,32.73
3341,16,1000,112,4,336,42.67,16.85,143.37,56.62
30,12,128,112,5,448,5.98,13.75,26.79,61.6
3520,10,1200,112,8,784,12.23,15.19,95.88,119.09
850,18,600,112,8,784,35.93,14.82,281.69,116.19
46,14,200,112,5,448,24.96,12.97,111.82,58.11
140,22,256,112,12,1232,17.57,14.07,216.46,173.34
757,16,600,112,8,784,28.47,14.59,223.2,114.39
140,32,200,112,6,560,52.4,15.23,293.44,85.29
1681,22,512,112,3,224,69.43,16.51,155.52,36.98
1005,19,512,112,3,224,73.39,16.04,164.39,35.93
1721,16,800,112,5,448,51.58,16.23,231.08,72.71
556,12,600,112,8,784,16.06,14.17,125.91,111.09
79,13,256,112,2,112,55.17,15.01,61.79,16.81
971,19,512,112,4,336,51.2,15.72,172.03,52.82
2917,14,1000,112,5,448,23.72,15.39,106.27,68.95
40,20,128,112,5,448,17.62,13.32,78.94,59.67
73,18,200,112,8,784,16.72,14.0,131.08,109.76
16,12,128,112,2,112,26.32,14.31,29.48,16.03
8371,40,800,112,12,1232,60.04,17.7,739.69,218.06
76,10,200,112,12,1232,3.41,13.34,42.01,164.35
1513,14,800,112,8,784,22.27,14.71,174.6,115.33
203,14,400,112,5,448,34.1,13.5,152.77,60.48
426,15,512,112,4,336,57.28,15.15,192.46,50.9
2511,12,1000,112,8,784,17.05,14.44,133.67,113.21
11,10,128,112,2,112,27.45,13.41,30.74,15.02
355,13,512,112,3,224,64.24,15.18,143.9,34.0
590,20,512,112,5,448,73.71,15.91,330.22,71.28
3108,15,1000,112,3,224,94.01,20.28,210.58,45.43
258,18,400,112,3,224,76.66,15.37,171.72,34.43
13232,32,1000,112,6,560,85.87,19.6,480.87,109.76
141,10,400,112,6,560,14.82,13.5,82.99,75.6
4641,13,1200,112,3,224,70.91,20.45,158.84,45.81
2915,32,600,112,6,560,81.89,17.19,458.58,96.26
25,14,128,112,4,336,12.71,13.13,42.71,44.12
41,22,128,112,5,448,21.48,13.41,96.23,60.08
3336,16,1000,112,3,224,93.3,19.76,208.99,44.26
1545,50,200,112,2,112,91.64,14.94,102.64,16.73
7594,64,400,112,5,448,87.47,16.38,391.87,73.38
2807,24,800,112,12,1232,39.31,15.4,484.3,189.73
7095,47,512,112,4,336,,,,
6341,17,1200,112,8,784,34.08,17.17,267.19,134.61
85,14,256,112,2,112,64.81,12.84,72.59,14.38
20,10,128,112,4,336,6.92,13.11,23.25,44.05
277,48,200,112,12,1232,43.43,15.36,535.06,189.24
70,17,128,112,12,1232,5.84,13.87,71.95,170.88
